Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí	Ãæ¾ß
Quèc v­¬ng	1		6	166	150	180	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
Qu©n V­¬ng	1		7	166	180	210	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
B¸ V­¬ng	1		8	166	210	240	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
Hoµng §Õ	1		9	166	240	270	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
Ngäc §Õ	1		10	166	270	300	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	115	10	10	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	200000	200000	0	0	0	0	0	0	0	0	0	0
CÊp tèc	1		5	115	20	20	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	200000	200000	0	0	0	0	0	0	0	0	0	0
Tèc ®é	1		9	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	200000	200000	0	0	0	0	0	0	0	0	0	0
§©m xuyªn	1		10	58	100	100	-1	-1	0	0	Bá qua phßng thñ ®èi ph­¬ng	100000	100000	0	0	0	0	0	0	0	0	0	0
VÜnh h»ng	1		10	43	1	1	-1	-1	0	0	Kh«ng thÓ ph¸ hñy	0	0	0	0	0	0	0	0	0	0	0	0
Ch¾c ch¾n	1		1	150	20	30	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
X¬ cøng	1		2	150	30	40	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
S¾t thÐp	1		3	150	40	50	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Kiªn cè 	1		4	150	50	60	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Kiªn c­êng	1		5	150	60	70	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		6	150	70	85	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		7	150	85	110	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		8	150	110	150	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		9	150	150	200	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
ThÇn H÷u	1		10	150	200	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	111	20	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
§õng véi	1		4	111	20	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
Nhanh chãng	1		6	111	30	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
Bay l­în	1		8	111	30	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
Khoa Phô 	1		10	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
Gai nhän	1		3	117	1	10	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	0	0	0	0	0	0	0	0	0	0
§©m ng· 	1		9	117	10	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	0	0	0	0	0	0	0	0	0	0
Ngµy b×nh th­êng	1		3	113	20	20	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	200000	0	0	0	0	0	0	0	0	0
æn ®Þnh	1		6	113	30	30	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	150000	0	0	0	0	0	0	0	0	0
C©n ®èi	1		9	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	100000	0	0	0	0	0	0	0	0	0
¸nh s¸ng	1		1	112	1	1	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
MÆt tr¨ng	1		2	112	2	2	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
Ph¸t s¸ng	1		3	112	3	3	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
NhÊp nh¸y	1		4	112	4	4	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
¸nh s¸ng chãi läi	1		5	112	5	5	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
MÆt trêi	1		6	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
Th¸i S­ 	1		5	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	2110	2110	0	2110	0	0	0	0	0	0	0	0
T«ng s­ 	1		10	139	1	2	-1	-1	0	0	T¨ng kü n¨ng	1011	1011	0	1011	0	0	0	0	0	0	0	0
L¨ng kÝnh	1		1	114	5	5	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	200000	0	0	0	0	0	0	0
CÇu vång	1		2	114	5	5	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	200000	0	0	0	0	0	0	0
b¶y mµu	1		3	114	5	5	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	200000	0	0	0	0	0	0	0
Hµo quang	1		4	114	10	10	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	150000	0	0	0	0	0	0	0
¸nh chíp	1		5	114	10	10	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	150000	0	0	0	0	0	0	0
CÇu vång	1		6	114	10	10	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	150000	0	0	0	0	0	0	0
CÇu vång	1		7	114	15	15	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	100000	0	0	0	0	0	0	0
CÇu vång	1		8	114	15	15	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	100000	0	0	0	0	0	0	0
Toµn th¹ch 	1		9	114	15	15	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	100000	0	0	0	0	0	0	0
CÇu vång	1		10	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	50000	0	0	0	0	0	0	0
Hót m¸u	1		2	136	3	3	-1	-1	0	0	hót Sinh lùc	100000	100000	0	0	0	0	0	0	0	0	0	0
Con muçi	1		5	136	5	5	-1	-1	0	0	hót Sinh lùc	100000	100000	0	0	0	0	0	0	0	0	0	0
Con ®Øa	1		7	136	7	7	-1	-1	0	0	hót Sinh lùc	80000	80000	0	0	0	0	0	0	0	0	0	0
Hoa ¨n thÞt ng­êi	1		10	136	10	10	-1	-1	0	0	hót Sinh lùc	50000	50000	0	0	0	0	0	0	0	0	0	0
Con d¬i	1		2	137	3	3	-1	-1	0	0	hót Néi lùc	100000	100000	0	0	0	0	0	0	0	0	0	0
Quû hån	1		5	137	5	5	-1	-1	0	0	hót Néi lùc	100000	100000	0	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		7	137	7	7	-1	-1	0	0	hót Néi lùc	80000	80000	0	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		10	137	10	10	-1	-1	0	0	hót Néi lùc	50000	50000	0	0	0	0	0	0	0	0	0	0
Sinh lùc	1		1	85	20	20	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Tr­êng thä 	1		2	85	40	40	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Tr­êng thä 	1		3	85	60	60	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Tr­êng sinh	1		4	85	80	80	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Tr­êng sinh	1		5	85	100	100	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Sinh ®éng	1		6	85	120	120	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Sinh ®éng	1		7	85	140	140	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Sinh linh	1		8	85	160	160	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Sinh linh	1		9	85	180	180	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Tr­êng thä 	1		10	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
Néi lùc	1		1	89	20	20	-1	-1	0	0	T¨ng Néi lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Søc sèng	1		2	89	40	40	-1	-1	0	0	T¨ng Néi lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
Søc sèng	1		3	89	60	60	-1	-1	0	0	T¨ng Néi lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
ThÞnh v­îng	1		4	89	80	80	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
ThÞnh v­îng	1		5	89	100	100	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Th©m hËu	1		6	89	120	120	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Th©m hËu	1		7	89	140	140	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
V« cïng	1		8	89	160	160	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
V« cïng	1		9	89	180	180	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
V« tËn	1		10	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
L©u dµi	1		1	93	20	20	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
L©u dµi	1		2	93	40	40	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
L©u dµi	1		3	93	60	60	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0	0
L©u dµi	1		4	93	80	80	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Kh«ng ngõng	1		5	93	100	100	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Kh«ng ngõng	1		6	93	120	120	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Kh«ng ngõng	1		7	93	140	140	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Kh«ng ngõng	1		8	93	160	160	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
S©u th¼m	1		9	93	180	180	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
S©u th¼m	1		10	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0	0
£m dÞu	1		1	88	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	200000	0	0	200000	200000	200000	200000	0	0	0
£m dÞu	1		3	88	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	180000	0	0	180000	180000	180000	180000	0	0	0
Nhu m× 	1		5	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	160000	0	0	160000	160000	160000	160000	0	0	0
Phôc sinh	1		6	88	8	8	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	140000	0	0	140000	140000	140000	140000	0	0	0
 tûnh l¹i	1		8	88	10	10	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	120000	0	0	120000	120000	120000	120000	0	0	0
phôc sinh	1		10	88	15	15	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100000	0	0	100000	100000	100000	100000	0	0	0
BiÓn réng	1		2	92	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	250000	0	0	0	0	0	250000	0	0
Sãng giã 	1		5	92	10	10	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	200000	0	0	0	0	0	200000	0	0
M­a to	1		7	92	15	15	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	150000	0	0	0	0	0	150000	0	0
Lµn sãng	1		10	92	20	20	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	100000	0	0	0	0	0	100000	0	0
Dåi dµo	1		1	96	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	0	0	0	0	0	0	0	0	0
MÒm dÎo	1		3	96	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	0	0	0	0	0	0	0	0	0
Tranh thñ 	1		5	96	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	0	0	0	0	0	0	0	0	0
Tranh thñ 	1		6	96	7	7	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	0	0	0	0	0	0	0	0	0
Tranh thñ 	1		7	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	0	0	0	0	0	0	0	0	0
Søc m¹nh	0	0	1	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Søc m¹nh	0	0	2	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Uy lùc	0	0	3	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Uy lùc	0	0	4	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Søc m¹nh	0	0	5	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Søc m¹nh	0	0	6	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Tr©u rõng	0	0	7	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Ng­êi khæng lå 	0	0	8	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
S¬n ThÇn 	0	0	9	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Céng C«ng	0	0	10	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0	0
Dao nhän	0	0	1	121	5	5	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	300000	300000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	2	121	10	10	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	300000	300000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	3	121	15	15	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	250000	250000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	4	121	20	20	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	250000	250000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	5	121	25	25	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	200000	200000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	6	121	30	30	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	200000	200000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	7	121	35	35	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	150000	150000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	8	121	40	40	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	150000	150000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	9	121	45	45	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	100000	100000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	10	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	50000	50000	0	0	0	0	0	0	0	0	0	0
N­íc ®éc 	0	1	1	125	5	5	-1	-1	0	0	T¨ng s¸t §éc s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
§éc Xµ 	0	1	2	125	10	10	-1	-1	0	0	T¨ng s¸t §éc s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
Cá kh« 	0	1	3	125	15	15	-1	-1	0	0	T¨ng s¸t §éc s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
¤n dÞch	0	1	4	125	20	20	-1	-1	0	0	T¨ng s¸t §éc s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
O¸n hËn	0	1	5	125	25	25	-1	-1	0	0	T¨ng s¸t §éc s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
TruyÒn nhiÔm	0	1	6	125	30	30	-1	-1	0	0	T¨ng s¸t §éc s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
Thèi röa	0	1	7	125	35	35	-1	-1	0	0	T¨ng s¸t §éc s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
KÞch §éc	0	1	8	125	40	40	-1	-1	0	0	T¨ng s¸t §éc s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
ChÝ tö 	0	1	9	125	45	45	-1	-1	0	0	T¨ng s¸t §éc s¸t	100000	100000	0	0	0	0	0	0	0	0	0	0
§o¹n hån	0	1	10	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	50000	50000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	1	123	10	10	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	2	123	20	20	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	3	123	30	30	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
®ãng b¨ng 	0	2	4	123	40	40	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
B¨ng tuyÕt 	0	2	5	123	50	50	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
Hµn §«ng	0	2	6	123	60	60	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
L¹nh buèt	0	2	7	123	70	70	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
L¹nh buèt 	0	2	8	123	80	80	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
B¨ng cùc	0	2	9	123	90	90	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	100000	100000	0	0	0	0	0	0	0	0	0	0
Chuyªn Hóc	0	2	10	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	50000	50000	0	0	0	0	0	0	0	0	0	0
§Þa DiÖm háa	0	3	1	122	10	10	-1	-1	0	0	T¨ng Ho¶ s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
Hµo quang	0	3	2	122	20	20	-1	-1	0	0	T¨ng Ho¶ s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
NhiÖt t×nh	0	3	3	122	30	30	-1	-1	0	0	T¨ng Ho¶ s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
T×nh c¶m m·nh liÖt	0	3	4	122	40	40	-1	-1	0	0	T¨ng Ho¶ s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
®èt 	0	3	5	122	50	50	-1	-1	0	0	T¨ng Ho¶ s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
Thiªu ®èt	0	3	6	122	60	60	-1	-1	0	0	T¨ng Ho¶ s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
Löa ®á 	0	3	7	122	70	70	-1	-1	0	0	T¨ng Ho¶ s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
XÝch DiÖm	0	3	8	122	80	80	-1	-1	0	0	T¨ng Ho¶ s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
Löa ®á	0	3	9	122	90	90	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	100000	0	0	0	0	0	0	0	0	0	0
Viªm ®Õ	0	3	10	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	50000	50000	0	0	0	0	0	0	0	0	0	0
TiÕng sÊm	0	4	1	124	10	10	-1	-1	0	0	T¨ng L«i s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
§iÖn kÝch	0	4	2	124	20	20	-1	-1	0	0	T¨ng L«i s¸t	300000	300000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	3	124	30	30	-1	-1	0	0	T¨ng L«i s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
Trung hßa ®iÖn	0	4	4	124	40	40	-1	-1	0	0	T¨ng L«i s¸t	250000	250000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	5	124	50	50	-1	-1	0	0	T¨ng L«i s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	6	124	60	60	-1	-1	0	0	T¨ng L«i s¸t	200000	200000	0	0	0	0	0	0	0	0	0	0
SÊm sÐt	0	4	7	124	70	70	-1	-1	0	0	T¨ng L«i s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
Thiªn L«i 	0	4	8	124	80	80	-1	-1	0	0	T¨ng L«i s¸t	150000	150000	0	0	0	0	0	0	0	0	0	0
L«i C«ng	0	4	9	124	90	90	-1	-1	0	0	T¨ng L«i s¸t	100000	100000	0	0	0	0	0	0	0	0	0	0
L«i ThÇn 	0	4	10	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	50000	50000	0	0	0	0	0	0	0	0	0	0
Kim Tinh 	0	0	3	134	5	5	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	200000	200000	200000	200000	200000	200000	200000	200000	0	0
Kim Ph¸ch	0	0	6	134	10	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	150000	150000	150000	150000	150000	150000	150000	150000	0	0
