Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
5100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6000	Phi Phong Hoµng Kim	0	4	2055	1	0	1	0	10000
6100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
6900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7000	Khu«n ®óc TuyÖt §Ønh Giíi ChØ	0	4	2053	1	0	1	0	10000
7100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
7900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
8000	S¸ch l·nh ®¹o kÐo xe	0	6	1	4918	0	1	0	10000
