MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	暗器房
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	火器房
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武功房
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	医药房
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	会客大厅
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	议事大厅
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	正房
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祭祖厅
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	汴京
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	铁塔迷宫第一层
39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	铁塔迷宫第二层
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	铁塔迷宫第三层
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	伏牛山西
42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天心洞迷宫
43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	剑阁中原
44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	宋金战场
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教室外
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教室内第一层
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教室内第二层左室
48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教室内第二层右室
49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教室内第三层
50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	七杀洞迷宫
51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教圣洞第一层
52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教圣洞第二层
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	巴陵县
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	南岳镇
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花源
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	衡山派
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	衡山大厅
58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	独孤剑卧室
59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天王帮
60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	前殿
61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天王大殿
62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	寝宫
65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天王岛山洞
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洞庭湖底山洞第一层
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洞庭湖底山洞第二层
68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	青螺岛
69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	青螺岛山洞
70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武陵山
71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	白水洞迷宫
72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	大酋洞迷宫
73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	伏流洞迷宫
74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	苗岭
75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	蚩尤洞迷宫
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	山宝洞迷宫
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	燕子洞迷宫
78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	襄阳
79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	襄阳城衙门秘道
80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	扬州
81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武当派
82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	井底迷宫
83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	火狼洞迷宫
84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	紫霄大殿
85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	十方殿
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	父母殿
87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙虎殿
90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	伏牛山东
91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	鸡冠洞迷宫
92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	蜀冈山
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	荐菊洞密宫
94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	灵谷洞密宫
99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	永乐镇
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	朱仙镇
101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	稻香村
102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教圣洞二层密室
103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	少林派
104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	藏经阁
105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	达摩堂
106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	大雄宝殿
109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	方丈禅室
110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	罗汉堂
111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	木人巷
112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	千佛殿
113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	少林密室
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	一百零八罗汉阵
115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	丐帮
116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祥云洞一层
117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祥云洞二层
118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祥云洞三层
119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祥云洞四层
120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祥云洞五层
121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙门镇
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	黄河源头
123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	老虎洞迷宫
124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	轩辕洞迷宫
125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞一层
126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞二层
127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞三层
128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞四层
129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞五层
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	留仙洞六层
131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	昆仑派
132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	冰穴迷宫
135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	见性峰山洞
136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	快活林
137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天微殿
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	正殿
139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	紫微殿
140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王谷
141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王洞一层
142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王洞二层
143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王洞三层
144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王洞四层
145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫一层
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫二层
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫三层
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫四层
149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫五层
150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫六层
151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫七层
152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雪豹洞迷宫八层
153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	石鼓镇
154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	翠烟门
155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	百花厅
158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	禁地迷宫
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	守玉厅
161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	翠烟楼
162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	大理府
163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	恶霸家地道
164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	千寻塔一层
165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	千寻塔二层
166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	千寻塔三层
167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	点苍山
168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	凤眼洞迷宫
169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙眼洞迷宫
170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	土匪迷宫
171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	点苍洞一层
172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	点苍洞二层
173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	点苍洞三层
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙泉村
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	西山村
176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	临安
177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	御花园
178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	御花园山洞
179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	罗霄山
180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙宫洞迷宫
181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	两水洞迷宫
182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	孽龙洞迷宫
183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	五毒教
184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	赤蝎寨
185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金蛇寨
186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	墨蛛寨
187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	青蜈寨
188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	银蟾寨
189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	总寨
190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	入门迷宫
193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武夷山
194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	玉华洞迷宫
195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雁荡山
196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	羊角洞迷宫
197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天牢
198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	清溪洞迷宫
199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武陵洞迷宫
200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	古阳洞迷宫
201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	冰河洞迷宫
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	芙蓉洞迷宫
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	无名洞迷宫
204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	飞天洞迷宫
205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	阳中洞迷宫
206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	秦始皇陵地下二层
207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	秦始皇陵地下三层
208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	大牢
209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	演武场
212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	华山绝顶
213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台一
214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台二
215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台三
216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台四
217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台五
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台六
219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	帮会擂台七
220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	演武场八
221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	攻城战场
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	守方后方
223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	攻方后方
224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	沙漠地表
225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	沙漠山洞1
226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	沙漠山洞2
227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	沙漠山洞3
228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	昆仑后山
229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	祭祖厅（战斗）
230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	大理城内（战斗）
231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	沧浪客居所
232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	周云泉居所
233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	莫空月居所
234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金蛇寨（战斗）
235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（一）
236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（二）
237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（三）
238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（四）
239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（五）
240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（六）
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	桃花岛（七）
242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（一）
243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（二）
244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（三）
245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（四）
246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（五）
247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（六）
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛（七）
249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（一）
259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（二）
269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（三）
279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（四）
289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
290	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
293	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
294	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（五）
299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
303	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（六）
309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
315	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
317	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	洗髓岛山洞（七）
319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	临渝关
320	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	长白山脚
321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	长白山南麓
322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	长白山北麓
323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	宋金报名点（初）
324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	宋金报名点（中）
325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	宋金报名点（高）
326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	平原战场（初）
327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	平原战场（中）
328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	平原战场（高）
329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	河滨战场（初）
330	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	河滨战场（中）
331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	河滨战场（高）
332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天龙寺
333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	华山派
336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	风陵渡
337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	风陵渡渡船一
